2025-07-14 12:03:21.199 INFO  (coreLoadExecutor-11-thread-3) [ x:like] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/like], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/like/data/]
2025-07-14 12:03:21.199 INFO  (coreLoadExecutor-11-thread-1) [ x:organization] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/organization], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/organization/data/]
2025-07-14 12:03:21.199 INFO  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishGraph], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishGraph/data/]
2025-07-14 12:03:21.281 WARN  (main) [] o.g.j.m.i.MessagingBinders A class javax.activation.DataSource for a default provider MessageBodyWriter<javax.activation.DataSource> was not found. The provider is not available.
2025-07-14 12:03:21.674 INFO  (main) [] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:21.710 WARN  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.D.s.StandardRequestHandler Solr loaded a deprecated plugin/analysis class [solr.StandardRequestHandler]. Please consult documentation how to replace it accordingly.
2025-07-14 12:03:21.791 INFO  (coreLoadExecutor-11-thread-3) [ x:like] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:21.793 INFO  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:21.793 INFO  (coreLoadExecutor-11-thread-1) [ x:organization] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:21.822 INFO  (coreLoadExecutor-11-thread-1) [ x:organization] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:21.822 INFO  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:21.822 INFO  (coreLoadExecutor-11-thread-3) [ x:like] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:21.822 INFO  (coreLoadExecutor-11-thread-1) [ x:organization] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:21.822 INFO  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:21.822 INFO  (coreLoadExecutor-11-thread-3) [ x:like] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:21.862 INFO  (main) [] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@77cf3f8b{solr-jetty-context.xml,/solr,file:///Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr-webapp/webapp/,AVAILABLE}{/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr-webapp/webapp}
2025-07-14 12:03:21.872 INFO  (main) [] o.e.j.s.RequestLogWriter Opened /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/logs/2025_07_14.request.log
2025-07-14 12:03:21.878 INFO  (main) [] o.e.j.s.AbstractConnector Started ServerConnector@5b40ceb{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2025-07-14 12:03:21.880 INFO  (main) [] o.e.j.s.Server Started Server@34a97744{STARTING}[10.0.17,sto=0] @5539ms
2025-07-14 12:03:21.994 INFO  (coreLoadExecutor-11-thread-3) [ x:like] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/like/conf
2025-07-14 12:03:21.994 INFO  (coreLoadExecutor-11-thread-1) [ x:organization] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/organization/conf
2025-07-14 12:03:21.994 INFO  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/publishGraph/conf
2025-07-14 12:03:22.014 INFO  (coreLoadExecutor-11-thread-2) [ x:publishGraph] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.014 INFO  (coreLoadExecutor-11-thread-1) [ x:organization] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.014 INFO  (coreLoadExecutor-11-thread-3) [ x:like] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.020 INFO  (coreLoadExecutor-11-thread-3) [ x:publishRest] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.020 INFO  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.020 INFO  (coreLoadExecutor-11-thread-2) [ x:contact] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.020 WARN  (coreLoadExecutor-11-thread-1) [ x:graph] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
